Year,Event,Team,Result
2022,World Series,Philadelphia Phillies,L
2022,ALCS,New York Yankees,L
2022,NLCS,San Diego Padres,L
2022,ALDS,Cleveland Guardians,L
2022,ALDS,Seattle Mariners,L
2022,NLDS,Atlanta Braves,L
2022,NLDS,Los Angeles Dodgers,L
2022,ALWC,Tampa Bay Rays,L
2022,NLWC,New York Mets,L
2022,ALWC,Toronto Blue Jays,L
2022,NLWC,St. Louis Cardinals,L
2021,World Series,Houston Astros,L
2021,ALCS,Boston Red Sox,L
2021,NLCS,Los Angeles Dodgers,L
2021,ALDS,Chicago White Sox,L
2021,ALDS,Tampa Bay Rays,L
2021,NLDS,Milwaukee Brewers,L
2021,NLDS,San Francisco Giants,L
2021,ALWC,New York Yankees,L
2021,NLWC,St. Louis Cardinals,L
2020,World Series,Tampa Bay Rays,L
2020,ALCS,Houston Astros,L
2020,NLCS,Atlanta Braves,L
2020,ALDS,New York Yankees,L
2020,ALDS,Oakland Athletics,L
2020,NLDS,San Diego Padres,L
2020,NLDS,Miami Marlins,L
2020,ALWC,Toronto Blue Jays,L
2020,NLWC,Milwaukee Brewers,L
2020,ALWC,Cleveland Indians,L
2020,NLWC,St. Louis Cardinals,L
2020,ALWC,Minnesota Twins,L
2020,NLWC,Chicago Cubs,L
2020,ALWC,Chicago White Sox,L
2020,NLWC,Cincinnati Reds,L
2019,World Series,Houston Astros,L
2019,ALCS,New York Yankees,L
2019,NLCS,St. Louis Cardinals,L
2019,ALDS,Tampa Bay Rays,L
2019,ALDS,Minnesota Twins,L
2019,NLDS,Los Angeles Dodgers,L
2019,NLDS,Atlanta Braves,L
2019,ALWC,Oakland Athletics,L
2019,NLWC,Milwaukee Brewers,L
2018,World Series,Los Angeles Dodgers,L
2018,ALCS,Houston Astros,L
2018,NLCS,Milwaukee Brewers,L
2018,ALDS,New York Yankees,L
2018,ALDS,Cleveland Indians,L
2018,NLDS,Colorado Rockies,L
2018,NLDS,Atlanta Braves,L
2018,ALWC,Oakland Athletics,L
2018,NLWC,Chicago Cubs,L
2017,World Series,Los Angeles Dodgers,L
2017,ALCS,New York Yankees,L
2017,NLCS,Chicago Cubs,L
2017,ALDS,Cleveland Indians,L
2017,ALDS,Boston Red Sox,L
2017,NLDS,Arizona Diamondbacks,L
2017,NLDS,Washington Nationals,L
2017,ALWC,Minnesota Twins,L
2017,NLWC,Colorado Rockies,L
2016,World Series,Cleveland Indians,L
2016,ALCS,Toronto Blue Jays,L
2016,NLCS,Los Angeles Dodgers,L
2016,ALDS,Texas Rangers,L
2016,ALDS,Boston Red Sox,L
2016,NLDS,San Francisco Giants,L
2016,NLDS,Washington Nationals,L
2016,ALWC,Baltimore Orioles,L
2016,NLWC,New York Mets,L
2015,World Series,New York Mets,L
2015,ALCS,Toronto Blue Jays,L
2015,NLCS,Chicago Cubs,L
2015,ALDS,Houston Astros,L
2015,ALDS,Texas Rangers,L
2015,NLDS,St. Louis Cardinals,L
2015,NLDS,Los Angeles Dodgers,L
2015,ALWC,New York Yankees,L
2015,NLWC,Pittsburgh Pirates,L
2014,World Series,Kansas City Royals,L
2014,ALCS,Baltimore Orioles,L
2014,NLCS,St. Louis Cardinals,L
2014,ALDS,Los Angeles Angels of Anaheim,L
2014,ALDS,Detroit Tigers,L
2014,NLDS,Washington Nationals,L
2014,NLDS,Los Angeles Dodgers,L
2014,ALWC,Oakland Athletics,L
2014,NLWC,Pittsburgh Pirates,L
2013,World Series,St. Louis Cardinals,L
2013,ALCS,Detroit Tigers,L
2013,NLCS,Los Angeles Dodgers,L
2013,ALDS,Tampa Bay Rays,L
2013,ALDS,Oakland Athletics,L
2013,NLDS,Pittsburgh Pirates,L
2013,NLDS,Atlanta Braves,L
2013,ALWC,Cleveland Indians,L
2013,NLWC,Cincinnati Reds,L
2012,World Series,Detroit Tigers,L
2012,ALCS,New York Yankees,L
2012,NLCS,St. Louis Cardinals,L
2012,ALDS,Baltimore Orioles,L
2012,ALDS,Oakland Athletics,L
2012,NLDS,Washington Nationals,L
2012,NLDS,Cincinnati Reds,L
2012,ALWC,Texas Rangers,L
2012,NLWC,Atlanta Braves,L
2011,World Series,Texas Rangers,L
2011,ALCS,Detroit Tigers,L
2011,NLCS,Milwaukee Brewers,L
2011,ALDS,New York Yankees,L
2011,ALDS,Tampa Bay Rays,L
2011,NLDS,Philadelphia Phillies,L
2011,NLDS,Arizona Diamondbacks,L
2010,World Series,Texas Rangers,L
2010,ALCS,New York Yankees,L
2010,NLCS,Philadelphia Phillies,L
2010,ALDS,Tampa Bay Rays,L
2010,ALDS,Minnesota Twins,L
