Date,plus_minus,Team,Year
1970-10-03,1,Cincinnati Reds,1970
1970-10-04,2,Cincinnati Reds,1970
1970-10-05,3,Cincinnati Reds,1970
1970-10-10,2,Cincinnati Reds,1970
1970-10-11,1,Cincinnati Reds,1970
1970-10-13,0,Cincinnati Reds,1970
1970-10-14,1,Cincinnati Reds,1970
1970-10-15,0,Cincinnati Reds,1970
1970-10-03,1,Baltimore Orioles,1970
1970-10-04,2,Baltimore Orioles,1970
1970-10-05,3,Baltimore Orioles,1970
1970-10-10,4,Baltimore Orioles,1970
1970-10-11,5,Baltimore Orioles,1970
1970-10-13,6,Baltimore Orioles,1970
1970-10-14,5,Baltimore Orioles,1970
1970-10-15,6,Baltimore Orioles,1970
1970-10-03,-1,Pittsburgh Pirates,1970
1970-10-04,-2,Pittsburgh Pirates,1970
1970-10-05,-3,Pittsburgh Pirates,1970
1970-10-03,-1,Minnesota Twins,1970
1970-10-04,-2,Minnesota Twins,1970
1970-10-05,-3,Minnesota Twins,1970
1971-10-03,1,Baltimore Orioles,1971
1971-10-04,2,Baltimore Orioles,1971
1971-10-05,3,Baltimore Orioles,1971
1971-10-09,4,Baltimore Orioles,1971
1971-10-11,5,Baltimore Orioles,1971
1971-10-12,4,Baltimore Orioles,1971
1971-10-13,3,Baltimore Orioles,1971
1971-10-14,2,Baltimore Orioles,1971
1971-10-16,3,Baltimore Orioles,1971
1971-10-17,2,Baltimore Orioles,1971
1971-10-02,-1,Pittsburgh Pirates,1971
1971-10-03,0,Pittsburgh Pirates,1971
1971-10-05,1,Pittsburgh Pirates,1971
1971-10-06,2,Pittsburgh Pirates,1971
1971-10-09,1,Pittsburgh Pirates,1971
1971-10-11,0,Pittsburgh Pirates,1971
1971-10-12,1,Pittsburgh Pirates,1971
1971-10-13,2,Pittsburgh Pirates,1971
1971-10-14,3,Pittsburgh Pirates,1971
1971-10-16,2,Pittsburgh Pirates,1971
1971-10-17,3,Pittsburgh Pirates,1971
1971-10-03,-1,Oakland Athletics,1971
1971-10-04,-2,Oakland Athletics,1971
1971-10-05,-3,Oakland Athletics,1971
